date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Shetland,Tayside
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,1,1,0,2,1,0,0
2020-03-08,0,0,0,0,0,0,1,0,0,1,0,0
2020-03-09,0,0,0,0,0,0,0,0,1,2,2,0
2020-03-10,0,0,0,0,0,2,0,0,0,2,0,0
2020-03-11,2,2,0,0,0,0,2,0,1,1,0,1
2020-03-12,1,0,0,1,4,1,5,0,3,3,4,2
2020-03-13,0,1,0,1,0,4,11,0,0,9,0,-1
2020-03-14,2,2,0,2,0,-2,10,1,3,5,5,8
2020-03-15,0,2,0,1,4,3,8,1,6,3,0,4
2020-03-16,1,0,1,0,0,0,5,0,4,1,4,2
2020-03-17,-1,0,0,0,2,10,5,3,1,1,0,3
2020-03-18,3,0,3,1,3,2,8,0,4,3,1,4
2020-03-19,3,1,2,1,2,-6,14,1,8,2,8,3
2020-03-20,4,1,4,3,6,1,20,0,8,5,0,4
2020-03-21,5,1,3,1,4,1,19,2,8,4,0,3
