date,Tests concluded
2020-03-06,0.028042882624446038
2020-03-07,0.03089314282561924
2020-03-08,0.03598683363674813
2020-03-09,0.038634817307515494
2020-03-10,0.04108052444787701
2020-03-11,0.0425884040381751
2020-03-12,0.05318033872124456
2020-03-13,0.06094040197863224
2020-03-14,0.0683143009506997
2020-03-15,0.07796840808370571
2020-03-16,0.09001305603059892
2020-03-17,0.09646751622809437
2020-03-18,0.11200603151836118
2020-03-19,0.12452878762803185
2020-03-20,0.1388352549603722
2020-03-21,0.15187289678380317
2020-03-22,0.15959618249020796
2020-03-23,0.1721924937018444
2020-03-24,0.18329931409867417
2020-03-25,0.19631856714661372
